hold_days,drawdown_min,drawdown_max,vol_shrink_ratio,last_limit_up_days_min,last_limit_up_days_max,limit_up_count_10_max,picks_per_day,valid_folds,total_test_trades,avg_test_win_rate,median_test_win_rate,avg_test_day_win_rate,avg_test_return,avg_test_max_drawdown,avg_test_profit_factor,win_rate_std,score
2,0.03,0.1,0.6,2,4,1,2,4,22,0.6175595238095238,0.6458333333333333,0.7666666666666666,0.026943903228720208,-0.006634364843499552,9.037488918250945,0.11802950059287756,0.6933293190934332
2,0.03,0.1,0.6,2,4,1,3,4,26,0.6166666666666667,0.6111111111111112,0.7666666666666666,0.02587572061596662,-0.006605418730048079,10.487842696274269,0.13182011686338527,0.6905459384758167
2,0.04,0.06,0.6,2,4,1,2,2,13,0.6309523809523809,0.6309523809523809,0.8,0.018753077498165918,-0.006956109563440616,4.312374297387979,0.2023809523809524,0.6894070550882815
4,0.03,0.06,0.7,2,4,1,2,4,38,0.6196969696969697,0.5727272727272728,0.7,0.03283709714557956,-0.031501838521536596,4.655092315069689,0.12832358375902825,0.6842220456150251
3,0.03,0.08,0.6,2,4,1,2,4,21,0.5610119047619048,0.6458333333333333,0.8,0.03739247209635181,-0.005072718622711747,39.02590902508655,0.15985079981954373,0.6839295334381904
2,0.03,0.1,0.55,2,4,1,3,3,13,0.6984126984126985,0.6666666666666666,0.6666666666666666,0.011699901652858611,-0.01111369394138395,6.15006536344017,0.23436227079735555,0.6815763046657235
3,0.03,0.06,0.7,2,4,1,3,4,50,0.6032738095238095,0.5982142857142857,0.725,0.02824392017117102,-0.011622435953371368,4.470073200932496,0.10207378825290712,0.6808053231164823
2,0.04,0.1,0.55,2,4,1,2,3,11,0.6888888888888888,0.6666666666666666,0.6666666666666666,0.014694295901916727,-0.004521621921821224,6.438012230733148,0.2454524670486058,0.6807876964211262
3,0.03,0.06,0.6,2,4,1,3,3,22,0.5833333333333334,0.6666666666666666,0.7333333333333334,0.0320447632623651,-0.005314377562660251,68.58724900640313,0.1800205749557739,0.6725810112775237
2,0.03,0.06,0.7,2,4,1,1,4,24,0.6333333333333333,0.6,0.6333333333333333,0.027495609270694582,-0.03388077308668838,3.969182999045154,0.14142135623730953,0.6692819965221128
2,0.04,0.06,0.6,2,4,1,1,2,9,0.8,0.8,0.8,0.03259988878701962,-0.004947372061900379,1.5778045745151283,0.2,0.6687505478582058
2,0.04,0.08,0.6,2,4,1,1,2,9,0.8,0.8,0.8,0.03259988878701962,-0.004947372061900379,1.5778045745151283,0.2,0.6687505478582058
2,0.04,0.1,0.6,2,4,1,1,2,9,0.8,0.8,0.8,0.03259988878701962,-0.004947372061900379,1.5778045745151283,0.2,0.6687505478582058
3,0.04,0.06,0.55,2,4,1,2,2,8,0.6333333333333333,0.6333333333333333,0.625,0.01641811183828752,0.0,5.000595605264715,0.033333333333333326,0.6670350675392783
3,0.04,0.06,0.55,2,4,1,3,2,8,0.6333333333333333,0.6333333333333333,0.625,0.01641811183828752,0.0,5.000595605264715,0.033333333333333326,0.6670350675392783
3,0.04,0.08,0.55,2,4,1,2,2,8,0.6333333333333333,0.6333333333333333,0.625,0.01641811183828752,0.0,5.000595605264715,0.033333333333333326,0.6670350675392783
2,0.04,0.08,0.6,2,4,2,2,4,21,0.6145833333333334,0.6041666666666667,0.6833333333333333,0.032742010665993734,-0.012714423263257918,3.4707960337920682,0.31093357409581873,0.6661191627466028
3,0.03,0.1,0.6,2,4,1,3,4,26,0.5666666666666667,0.6333333333333333,0.7166666666666667,0.032631739086138284,-0.003985783171995189,7.888811077897206,0.13743685418725535,0.6660181779210794
2,0.04,0.06,0.6,2,4,2,2,4,21,0.6145833333333334,0.6041666666666667,0.6833333333333333,0.03154146725329561,-0.015115510088654166,3.31178145424289,0.31093357409581873,0.6643903802323174
2,0.03,0.1,0.6,2,4,1,1,3,13,0.6222222222222222,0.6,0.6222222222222222,0.019955266608267765,-0.018776758404051835,6.296005810337351,0.03142696805273544,0.6636233959216609
2,0.03,0.1,0.55,2,4,1,2,3,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.011036515928606652,-0.01111369394138395,6.1323180702399025,0.2721655269759087,0.6634702670166226
4,0.03,0.06,0.7,2,4,1,1,4,24,0.6125,0.6,0.6125,0.04212285525624965,-0.035224743951716375,4.729158852762484,0.2747157621979489,0.6624681960574577
2,0.04,0.06,0.6,2,5,1,1,4,22,0.6309523809523809,0.6666666666666666,0.6309523809523809,0.02390387793825942,-0.02916190118618417,14.305295673752559,0.18860689902089117,0.6602157210809456
4,0.03,0.06,0.7,2,4,1,3,4,50,0.5702380952380952,0.55,0.7,0.025060759629745247,-0.02327833691866063,3.1220336766326495,0.09656075596139839,0.6561617935056859
4,0.03,0.08,0.6,2,4,1,3,4,25,0.5208333333333333,0.5,0.8,0.031909840713493884,-0.015678956646635905,12.511430779679626,0.18980069956550624,0.6556012780933559
3,0.04,0.08,0.6,2,4,1,2,3,16,0.5396825396825397,0.6666666666666666,0.7166666666666667,0.03358590449579566,-0.0067636248302823665,9.329880450164914,0.17958267458705965,0.6513153126388324
3,0.03,0.08,0.7,2,4,1,2,4,40,0.5689935064935066,0.5357142857142857,0.6875,0.022562924823000628,-0.030282852347502526,3.3435593481024304,0.11250304525403722,0.6479884018076555
3,0.04,0.1,0.6,2,4,1,3,4,22,0.5396825396825397,0.5555555555555556,0.7125,0.028387716911433422,-0.003985783171995216,7.771656107940169,0.15673347347723413,0.6464054312920446
