ts_code,trade_date,name,industry,label_true_breakout,path_source,score_total,rank_global_after_merge,rank_bucket,buy_date,buy_open_t1,close_t1,close_t2,close_t3,ret_t1,ret_t2,ret_t3,win_t1,win_t2,win_t3
603012.SH,20260211,创力集团,专用机械,G,B,0.682743083211205,3,top3,20260212,8.09,8.12,8.11,8.04,0.003708281829418958,0.0024721878862792313,-0.006180469715698522,True,True,False
000539.SZ,20260212,粤电力Ａ,火力发电,G,B,0.7484392802663187,2,top2,20260213,4.92,4.76,4.87,4.9,-0.0325203252032521,-0.010162601626016232,-0.004065040650406471,False,False,False
000962.SZ,20260212,东方钽业,小金属,G,A,0.8763519517613457,1,top1,20260213,48.49,47.68,46.65,51.32,-0.016704475149515452,-0.037945968240874484,0.058362548979171036,False,False,True
603045.SH,20260212,福达合金,小金属,A,B,0.7309143462432302,3,top3,20260213,27.89,29.9,29.7,29.43,0.07206884187880958,0.06489781283614193,0.05521692362854069,True,True,True
000338.SZ,20260213,潍柴动力,汽车配件,A,A,0.8428705172960966,1,top1,20260224,27.28,29.1,28.52,29.22,0.06671554252199408,0.045454545454545414,0.07111436950146621,True,True,True
600372.SH,20260213,中航机载,航空,G,B,0.7098042958386162,3,top3,20260224,16.14,16.2,16.15,16.33,0.0037174721189590088,0.0006195786864930941,0.011771995043370342,True,True,True
603163.SH,20260213,圣晖集成,建筑工程,A,B,0.7208999120232527,2,top2,20260224,129.37,134.85,130.06,143.07,0.04235912499033767,0.005333539460462333,0.10589781247584429,True,True,True
600101.SH,20260224,明星电力,水力发电,A,B,0.8116049620286374,2,top2,20260225,10.46,10.45,10.57,11.07,-0.0009560229445507717,0.010516252390057268,0.05831739961759075,False,True,True
600714.SH,20260224,金瑞矿业,化工原料,A,B,0.7750830875842646,3,top3,20260225,16.73,16.92,16.7,17.96,0.011356843992827326,-0.0017931858936043321,0.0735206216377764,True,False,True
603124.SH,20260224,江南新材,铜,A,A,0.8584199573831437,1,top1,20260225,115.65,115.78,118.08,114.9,0.001124081279723299,0.021011673151750898,-0.006485084306095956,True,True,False
600010.SH,20260225,包钢股份,普钢,A,A,0.8769140534876808,1,top1,20260226,3.0,2.98,3.24,3.32,-0.00666666666666671,0.08000000000000007,0.10666666666666669,False,True,True
600929.SH,20260225,雪天盐业,食品,G,B,0.7986575830351417,2,top2,20260226,6.44,6.58,6.56,6.56,0.021739130434782483,0.01863354037267073,0.01863354037267073,True,True,True
603601.SH,20260225,再升科技,玻璃,C,B,0.7530997802353673,3,top3,20260226,13.1,13.23,13.1,12.78,0.00992366412213741,0.0,-0.02442748091603053,True,False,False
000733.SZ,20260226,振华科技,元器件,C,B,0.7470563361791398,2,top2,20260227,57.55,57.74,57.18,52.53,0.0033014769765422614,-0.006429192006950468,-0.0872284969591659,True,False,False
002028.SZ,20260226,思源电气,电气设备,C,A,0.8634885851304449,1,top1,20260227,222.78,214.43,222.53,219.4,-0.037480922883562195,-0.0011221833198671316,-0.015171918484603641,False,False,False
603867.SH,20260226,新化股份,化工原料,G,B,0.7215649267986207,3,top3,20260227,36.83,38.05,38.66,35.81,0.03312516969861523,0.04968775454792285,-0.027694814010317592,True,True,False
000767.SZ,20260227,晋控电力,火力发电,C,A,0.8893954300222152,1,top1,20260302,3.66,3.67,3.52,3.61,0.002732240437158362,-0.03825136612021862,-0.013661202185792476,True,False,False
600725.SH,20260227,云维股份,商贸代理,C,B,0.7763902599309127,3,top3,20260302,5.29,5.34,5.09,5.02,0.009451795841209698,-0.03780718336483935,-0.051039697542533125,True,False,False
603028.SH,20260227,赛福天,钢加工,C,B,0.7927824839974886,2,top2,20260302,10.1,10.12,9.47,9.35,0.001980198019801982,-0.06237623762376232,-0.07425742574257421,True,False,False
000070.SZ,20260302,特发信息,通信设备,C,A,0.8908076801015551,1,top1,20260303,19.66,18.46,19.21,17.51,-0.061037639877924654,-0.022889114954221745,-0.10935910478128175,False,False,False
000933.SZ,20260302,神火股份,铝,A,B,0.7412872643271083,3,top3,20260303,33.9,33.76,35.42,36.28,-0.004129793510324498,0.04483775811209445,0.07020648967551635,False,True,True
600028.SH,20260302,中国石化,石油加工,G,B,0.7451610404151522,2,top2,20260303,7.15,7.82,7.4,7.03,0.0937062937062938,0.034965034965035,-0.016783216783216814,True,True,False
000421.SZ,20260303,南京公用,供气供热,C,B,0.7686523805018753,2,top2,20260304,7.72,7.19,6.96,7.03,-0.06865284974093255,-0.0984455958549223,-0.0893782383419689,False,False,False
600149.SH,20260303,廊坊发展,综合类,A,B,0.7573175169663366,3,top3,20260304,6.23,6.97,6.87,7.13,0.11878009630818598,0.10272873194221499,0.14446227929373978,True,True,True
601898.SH,20260303,中煤能源,煤炭开采,C,A,0.8528276737543637,1,top1,20260304,17.0,17.2,17.53,17.33,0.0117647058823529,0.03117647058823536,0.01941176470588224,True,True,True
000592.SZ,20260304,平潭发展,林业,C,B,0.7370254821129106,3,top3,20260305,12.53,12.2,12.04,11.62,-0.026336791699920203,-0.03910614525139666,-0.07262569832402233,False,False,False
001278.SZ,20260304,一彬科技,汽车配件,C,B,0.7762418686254848,2,top2,20260305,26.26,24.5,24.24,23.73,-0.06702208682406707,-0.07692307692307698,-0.09634424980959633,False,False,False
002378.SZ,20260304,章源钨业,小金属,C,A,0.8371342430974296,1,top1,20260305,45.88,41.8,44.7,44.91,-0.08892763731473419,-0.02571926765475152,-0.02114210985178744,False,False,False
