trade_date,stock_code,stock_name,ts_code,label_class,label_A_high,label_A_mid,label_A_low,label_C,label_G,path_source,in_C2A,in_ech2_s2,in_mainline_current,mainline_channel,score_total,score_platform_axis_single,score_industry_axis_single,f_chip_winner_rate,f_platform_compress_ratio,f_strength_rs20_xsec_q,rank_global_after_merge,ret_t1_close,ret_t2_close,ret_t3_close
20260130,600787.SH,中储股份,600787.SH,C,0,0,0,1,0,,False,False,False,none,,0.486945991091314,0.4478597696176518,0.5325233068862364,0.6829268292682931,0.548256880733945,,-0.025423728813559365,-0.022033898305084842,-0.01016949152542379
20260130,600800.SH,渤海化学,600800.SH,C,0,0,0,1,0,,False,False,False,none,,0.25515590200445437,0.7208033637986048,0.7400729730955917,0.6647058823529413,0.9537614678899082,,-0.013483146067415852,-0.0022471910112359383,0.01348314606741563
20260130,600820.SH,隧道股份,600820.SH,C,0,0,0,1,0,,False,False,False,none,,0.8417789532293986,0.5104037099129306,0.7997162791832566,0.37288135593220306,0.5155963302752293,,-0.03244837758112107,-0.02507374631268433,-0.008849557522124019
20260130,600897.SH,厦门空港,600897.SH,G,0,0,0,0,1,,False,False,False,none,,0.5199498886414253,0.1507354929425126,0.8512004986255095,0.612565445026177,0.6055045871559633,,-0.04840425531914894,-0.03031914893617027,-0.019680851063829885
20260130,600926.SH,杭州银行,600926.SH,G,0,0,0,0,1,,False,False,False,none,,0.2899304008908686,0.20405197122924668,0.788406896831634,1.0,0.5592660550458716,,-0.016676961087090825,-0.021618282890673357,-0.0030883261272390827
20260130,600959.SH,江苏有线,600959.SH,G,0,0,0,0,1,,False,False,False,none,,0.21493318485523383,0.4704180412092369,0.9219278857671039,0.7478260869565218,0.9225688073394496,,-0.02064220183486254,0.006880733944953921,-0.02752293577981657
20260130,600983.SH,惠而浦,600983.SH,A,0,0,1,0,0,,False,False,False,none,,0.7501419821826281,0.43846330647341947,0.8386571358930955,0.38036809815950895,0.8429357798165138,,-0.02331838565022415,0.0,0.07623318385650224
20260130,601038.SH,一拖股份,601038.SH,C,0,0,0,1,0,,False,False,False,none,,0.2864587973273942,0.32954545454545453,0.9344657864687262,0.9264705882352945,0.5658715596330275,,-0.05681818181818188,-0.02874331550802145,-0.0401069518716578
20260130,601139.SH,深圳燃气,601139.SH,C,0,0,0,1,0,,False,False,False,none,,0.544022828507795,0.34286950408306743,0.7293366253435545,0.6274509803921576,0.504954128440367,,-0.01897810218978102,-0.021897810218978075,-0.0014598540145984717
20260130,601336.SH,新华保险,601336.SH,C,0,0,0,1,0,,False,False,False,none,,0.472305122494432,0.26579822616407983,0.9584157389147987,0.5468834688346881,0.8733944954128441,,-0.023188405797101463,-0.02814009661835748,-0.015096618357487879
20260130,601599.SH,浙文影业,601599.SH,A,0,1,0,0,0,,False,False,False,none,,0.3102978841870824,0.4764953220485641,0.965038604134827,0.6956521739130432,0.7794495412844037,,0.020044543429843964,0.05122494432071267,-0.008908685968819552
