trade_date,stock_code,stock_name,ts_code,input_tier,path_source,in_C2A,in_ech2_s2,in_mainline_current,score_total,score_platform_axis_single,score_industry_axis_single,f_chip_winner_rate,f_platform_compress_ratio,f_strength_rs20_xsec_q,rank_global_after_merge,label_A_high,label_A_mid,label_A_low,label_C,label_G,ret_t1_close,ret_t2_close,ret_t3_close
20250709,603800.SH,洪田股份,603800.SH,main_channel,A,True,False,True,0.8146306311178412,0.5287249443207127,0.4895557298145043,0.8973923117566956,0.5023400936037445,0.973027989821883,2.0,0,0,0,1,0,-0.03353126091512393,-0.05902899056933275,-0.07369891721969957
20250710,600208.SH,衢州发展,600208.SH,main_channel,A,True,False,True,0.8791241685144126,0.49698218262806226,0.8568289978908658,0.9585291856887249,0.5468750000000004,0.9704834605597964,1.0,0,0,1,0,0,0.054216867469879526,0.015060240963855609,-0.0060240963855421326
20250711,600549.SH,厦门钨业,600549.SH,main_channel,B,True,False,True,0.8273622643952064,0.8824387527839643,0.7913647179709047,0.9753838027911721,0.2386363636363632,0.6139369277721262,3.0,0,0,0,0,1,-0.0126811594202898,-0.024003623188405654,-0.02128623188405787
20250714,000901.SZ,航天科技,000901.SZ,main_channel,B,True,False,True,0.8363124239068555,0.8023106904231625,0.7690836082418474,0.9746958049908407,0.3416149068322976,0.8178117048346056,2.0,0,0,0,0,1,0.03238866396761142,0.005668016194332104,0.03400809716599196
20250715,001287.SZ,中电港,001287.SZ,main_channel,A,True,False,True,0.8080533019677774,0.7299443207126948,0.5116881185441566,0.8758569101895861,0.46113989637305736,0.9338758901322483,1.0,0,0,0,0,1,0.004959422903516586,-0.007213706041478862,0.042380522993688
20250716,600196.SH,复星医药,600196.SH,main_channel,B,True,False,True,0.7050480506119045,0.7533574610244989,0.8476623762911687,0.8859515590313166,0.45374449339207107,0.6544529262086514,3.0,0,0,0,1,0,0.005331302361005319,0.0038080731150036407,-0.004950495049505066
20250717,603386.SH,骏亚科技,603386.SH,main_channel,A,True,False,True,0.856678546442901,0.6822160356347439,0.8212373587150505,0.9725828282449386,0.379310344827586,0.9017811704834605,1.0,0,0,0,1,0,-0.00962250185048108,-0.0007401924500369805,-0.022205773501110193
20250718,600351.SH,亚宝药业,600351.SH,main_channel,B,True,False,True,0.7383896091943227,0.6897021158129175,0.12711589421880914,0.9575118608910396,0.4848484848484845,0.6200406917599186,3.0,1,0,0,0,0,0.04341085271317824,0.03875968992248069,0.10077519379844957
20250721,000932.SZ,华菱钢铁,000932.SZ,main_channel,A,True,False,True,0.8846647017467959,0.6273775055679287,0.8154845600562435,0.9762818421578888,0.43478260869565205,0.9471544715447154,2.0,0,1,0,0,0,0.05967450271247743,0.030741410488245968,0.039783001808318286
20250722,600166.SH,福田汽车,600166.SH,main_channel,B,True,False,True,0.8167935154219895,0.8218819599109131,0.3428762641284949,0.9984493967886905,0.3157894736842109,0.7019328585961343,3.0,0,0,0,1,0,-0.020689655172413834,-0.01724137931034475,-0.03103448275862064
20250723,603716.SH,塞力医疗,603716.SH,main_channel,A,True,False,True,0.8006454491374183,0.4941759465478841,0.4071778162349251,1.0,0.45576066199872695,0.9994913530010173,2.0,1,0,0,0,0,0.05555555555555558,0.08402777777777781,0.15104166666666652
20250724,600410.SH,华胜天成,600410.SH,main_channel,B,True,False,True,0.73639609537434,0.6344710467706013,0.5145205775782813,0.9959425373268692,0.46111111111111097,0.8244274809160306,3.0,0,0,0,0,1,-0.011818181818181839,-0.023636363636363567,-0.015454545454545499
20250725,603228.SH,景旺电子,603228.SH,main_channel,A,True,False,True,0.8612722405494566,0.5673719376391981,0.5666067275972094,0.9993803868986426,0.3984826589595376,0.9913486005089058,1.0,1,0,0,0,0,0.08370497427101209,0.16655231560891948,0.13550600343053176
20250728,600276.SH,恒瑞医药,600276.SH,main_channel,A,True,False,True,0.8459714363437436,0.7378730512249443,0.6080728462495268,0.9999999999999998,0.395715896279594,0.9272264631043257,2.0,0,0,0,0,1,0.012698412698412653,0.009365079365079465,-0.0015873015873015817
20250729,600570.SH,恒生电子,600570.SH,main_channel,B,True,False,True,0.8408900884845215,0.7590423162583518,0.5388905413444378,1.0,0.27628361858190675,0.9182326053834434,3.0,0,0,0,1,0,-0.03871135359833733,-0.05949597297999476,-0.07690309171213305
20250730,600216.SH,浙江医药,600216.SH,main_channel,B,True,False,True,0.7949564198086759,0.7620907572383073,0.7597615055973175,0.9701889592138577,0.4400000000000001,0.8059928897917725,3.0,0,0,0,1,0,-0.02391171060698949,-0.02268546903740032,-0.02759043531575711
20250731,601515.SH,衢州东峰,601515.SH,main_channel,B,True,False,True,0.8040617776292495,0.7761191536748329,0.21180574333459523,0.9601957467561498,0.32835820895522355,0.8310467479674797,2.0,1,0,0,0,0,0.019230769230769162,0.05288461538461542,0.05528846153846145
