k,combo,support_keptC,support_keptAhigh,diff_C_minus_A,nC,nA
3,score_total<=q40(0.8377) & score_industry_axis_single<=q60(0.7378) & f_strength_rs20_xsec_q>=q40(0.9473),0.16129032258064516,0.125,0.03629032258064516,5,1
3,score_total<=q40(0.8377) & score_industry_axis_single<=q60(0.7378) & f_platform_compress_ratio<=q60(0.6772),0.25806451612903225,0.125,0.13306451612903225,8,1
3,score_total<=q40(0.8377) & score_industry_axis_single<=q60(0.7378) & f_chip_winner_rate<=q60(0.9925),0.25806451612903225,0.125,0.13306451612903225,8,1
3,score_total<=q40(0.8377) & f_platform_compress_ratio<=q60(0.6772) & f_chip_winner_rate<=q60(0.9925),0.22580645161290322,0.125,0.10080645161290322,7,1
3,score_platform_axis_single<=q40(0.3080) & score_trend_axis_single<=q60(0.9030) & score_industry_axis_single>=q40(0.6460),0.1935483870967742,0.0,0.1935483870967742,6,0
3,score_platform_axis_single<=q40(0.3080) & score_trend_axis_single<=q60(0.9030) & score_industry_axis_single>=q60(0.7378),0.16129032258064516,0.0,0.16129032258064516,5,0
3,score_platform_axis_single<=q40(0.3080) & score_trend_axis_single<=q60(0.9030) & f_strength_rs20_xsec_q<=q40(0.9473),0.1935483870967742,0.0,0.1935483870967742,6,0
3,score_platform_axis_single<=q40(0.3080) & score_trend_axis_single<=q60(0.9030) & f_platform_compress_ratio>=q60(0.6772),0.2903225806451613,0.0,0.2903225806451613,9,0
3,score_platform_axis_single<=q40(0.3080) & score_trend_axis_single<=q60(0.9030) & score_total>=q40(0.8377),0.22580645161290322,0.0,0.22580645161290322,7,0
3,score_platform_axis_single<=q40(0.3080) & score_trend_axis_single<=q60(0.9030) & f_chip_winner_rate<=q60(0.9925),0.16129032258064516,0.0,0.16129032258064516,5,0
3,score_platform_axis_single<=q40(0.3080) & score_industry_axis_single>=q40(0.6460) & score_industry_axis_single>=q60(0.7378),0.25806451612903225,0.125,0.13306451612903225,8,1
3,score_platform_axis_single<=q40(0.3080) & score_industry_axis_single>=q40(0.6460) & f_strength_rs20_xsec_q<=q40(0.9473),0.16129032258064516,0.0,0.16129032258064516,5,0
3,score_platform_axis_single<=q40(0.3080) & score_industry_axis_single>=q40(0.6460) & f_platform_compress_ratio>=q60(0.6772),0.2903225806451613,0.125,0.1653225806451613,9,1
3,score_platform_axis_single<=q40(0.3080) & score_industry_axis_single>=q40(0.6460) & score_total>=q40(0.8377),0.25806451612903225,0.125,0.13306451612903225,8,1
3,score_platform_axis_single<=q40(0.3080) & score_industry_axis_single>=q40(0.6460) & f_strength_rs20_xsec_q>=q40(0.9473),0.16129032258064516,0.125,0.03629032258064516,5,1
3,score_platform_axis_single<=q40(0.3080) & score_industry_axis_single>=q40(0.6460) & f_chip_winner_rate<=q60(0.9925),0.25806451612903225,0.125,0.13306451612903225,8,1
3,score_platform_axis_single<=q40(0.3080) & score_industry_axis_single>=q60(0.7378) & f_platform_compress_ratio>=q60(0.6772),0.25806451612903225,0.125,0.13306451612903225,8,1
3,score_platform_axis_single<=q40(0.3080) & score_industry_axis_single>=q60(0.7378) & score_total>=q40(0.8377),0.22580645161290322,0.125,0.10080645161290322,7,1
3,score_platform_axis_single<=q40(0.3080) & score_industry_axis_single>=q60(0.7378) & f_chip_winner_rate<=q60(0.9925),0.1935483870967742,0.125,0.06854838709677419,6,1
3,score_platform_axis_single<=q40(0.3080) & f_strength_rs20_xsec_q<=q40(0.9473) & f_platform_compress_ratio>=q60(0.6772),0.1935483870967742,0.0,0.1935483870967742,6,0
3,score_platform_axis_single<=q40(0.3080) & f_strength_rs20_xsec_q<=q40(0.9473) & f_chip_winner_rate<=q60(0.9925),0.16129032258064516,0.0,0.16129032258064516,5,0
3,score_platform_axis_single<=q40(0.3080) & f_platform_compress_ratio>=q60(0.6772) & f_chip_winner_rate>=q60(0.9925),0.16129032258064516,0.0,0.16129032258064516,5,0
3,score_platform_axis_single<=q40(0.3080) & f_platform_compress_ratio>=q60(0.6772) & score_total>=q40(0.8377),0.3548387096774194,0.125,0.22983870967741937,11,1
3,score_platform_axis_single<=q40(0.3080) & f_platform_compress_ratio>=q60(0.6772) & score_trend_axis_single>=q60(0.9030),0.16129032258064516,0.125,0.03629032258064516,5,1
3,score_platform_axis_single<=q40(0.3080) & f_platform_compress_ratio>=q60(0.6772) & score_industry_axis_single<=q40(0.6460),0.16129032258064516,0.0,0.16129032258064516,5,0
3,score_platform_axis_single<=q40(0.3080) & f_platform_compress_ratio>=q60(0.6772) & score_industry_axis_single<=q60(0.7378),0.1935483870967742,0.0,0.1935483870967742,6,0
3,score_platform_axis_single<=q40(0.3080) & f_platform_compress_ratio>=q60(0.6772) & f_strength_rs20_xsec_q>=q40(0.9473),0.25806451612903225,0.125,0.13306451612903225,8,1
3,score_platform_axis_single<=q40(0.3080) & f_platform_compress_ratio>=q60(0.6772) & f_chip_winner_rate<=q60(0.9925),0.2903225806451613,0.125,0.1653225806451613,9,1
3,score_platform_axis_single<=q40(0.3080) & f_chip_winner_rate>=q60(0.9925) & score_total>=q40(0.8377),0.16129032258064516,0.0,0.16129032258064516,5,0
3,score_platform_axis_single<=q40(0.3080) & score_total>=q40(0.8377) & f_strength_rs20_xsec_q>=q40(0.9473),0.22580645161290322,0.125,0.10080645161290322,7,1
3,score_platform_axis_single<=q40(0.3080) & score_total>=q40(0.8377) & f_chip_winner_rate<=q60(0.9925),0.1935483870967742,0.125,0.06854838709677419,6,1
3,score_platform_axis_single<=q40(0.3080) & score_trend_axis_single>=q60(0.9030) & f_strength_rs20_xsec_q>=q40(0.9473),0.1935483870967742,0.125,0.06854838709677419,6,1
3,score_platform_axis_single<=q40(0.3080) & score_trend_axis_single>=q60(0.9030) & f_chip_winner_rate<=q60(0.9925),0.16129032258064516,0.125,0.03629032258064516,5,1
3,score_platform_axis_single<=q40(0.3080) & score_industry_axis_single<=q40(0.6460) & score_industry_axis_single<=q60(0.7378),0.16129032258064516,0.0,0.16129032258064516,5,0
