signal_date,confirm_date,ts_code,name,industry,signal_score,rs20_xsec_q,atr_ratio_q60,box_range,pivot,entry_price,confirm_open,stop_loss,signal_grade,volume_ratio,ret_t1,ret_t1_open,ret_t2,ret_t2_open,ret_t3,ret_t3_open
20251218,20251219,603313.SH,梦百合,家居用品,63.91,0.8656108597285068,0.15,0.0690376569037657,9.64,9.66,9.55,9.33,B,1.04,0.005175983436852993,0.01675392670157061,-0.005175983436853104,0.006282722513088812,-0.010351966873705987,0.0010471204188482464
20251219,20251222,000672.SZ,上峰水泥,水泥,63.02,0.8021729289271163,0.21666666666666667,0.0682839173405211,11.51,11.53,11.19,11.1,A,2.01,-0.0095403295750216,0.020554066130473725,0.027753686036426695,0.05898123324396787,0.038161318300086844,0.06970509383378021
20251219,20251222,600298.SH,安琪酵母,食品,70.5,0.8918062471706655,0.2,0.05965463108320243,42.47,42.55,44.4,41.16,A,2.72,0.03901292596944783,-0.00427927927927918,0.03525264394829608,-0.007882882882882969,0.033137485311398374,-0.009909909909909809
20251219,20251222,601899.SH,紫金矿业,铜,73.47,0.8356722498868266,0.06666666666666667,0.05880462724935727,31.95,32.01,31.69,30.84,A,1.25,0.002499218994064467,0.01262227832123708,0.009372071227741419,0.019564531397917362,0.0006248047485162278,0.010728936573051406
20251222,20251223,000672.SZ,上峰水泥,水泥,66.01,0.8619284744228157,0.3,0.06643356643356642,11.51,11.53,11.35,11.08,A,1.22,0.027753686036426695,0.044052863436123246,0.038161318300086844,0.05462555066079311,0.038161318300086844,0.05462555066079311
20251222,20251223,600428.SH,中远海特,水运,67.35,0.8071525577184246,0.03333333333333333,0.047683923705722026,7.3,7.31,7.35,7.12,B,1.1,-0.009575923392612817,-0.014965986394557707,-0.015047879616962967,-0.020408163265306034,-0.01641586867305056,-0.021768707482993088
20251222,20251223,601899.SH,紫金矿业,铜,75.49,0.9044816659121775,0.18333333333333332,0.05625576391023665,31.95,32.01,33.06,30.75,A,1.34,0.009372071227741419,-0.02268602540834841,0.0006248047485162278,-0.03115547489413195,0.04748516088722288,0.014216575922564978
20251224,20251225,000672.SZ,上峰水泥,水泥,68.95,0.8923563998190864,0.36666666666666664,0.06919831223628695,11.57,11.59,11.85,11.11,A,1.22,0.032786885245901676,0.010126582278481067,0.0051768766177739955,-0.016877637130801593,0.018981880931837836,-0.0033755274261603185
20251224,20251225,603901.SH,永创智能,专用机械,83.72,0.9163274536408865,0.016666666666666666,0.06808510638297866,14.19,14.22,14.1,13.66,B,1.11,-0.02320675105485237,-0.014893617021276562,0.005625879043600568,0.014184397163120588,-0.002812939521800395,0.005673758865248235
20251225,20251226,603901.SH,永创智能,专用机械,82.48,0.8331826401446655,0.016666666666666666,0.06559665038381016,14.17,14.2,14.33,13.63,B,1.08,0.007042253521126751,-0.002093510118632236,-0.0014084507042253502,-0.010467550593161179,0.0,-0.009071877180739762
20251226,20251229,000612.SZ,焦作万方,铝,72.98,0.8864253393665158,0.08333333333333333,0.07741347905282328,10.45,10.47,11.0,9.99,A,1.55,0.05921680993314227,0.008181818181818068,0.05253104106972284,0.0018181818181817189,0.08118433619866283,0.029090909090909056
20251226,20251229,000630.SZ,铜陵有色,铜,72.93,0.9081447963800905,0.2,0.0775716694772344,5.64,5.65,6.11,5.4,A,1.97,0.0265486725663715,-0.05073649754500831,0.06371681415929187,-0.01636661211129309,0.030088495575221197,-0.04746317512274956
20251226,20251229,000737.SZ,北方铜业,铜,80.66,0.9416289592760181,0.3,0.07533805537669028,14.92,14.95,15.86,14.31,A,1.9,0.008695652173912993,-0.0491803278688524,0.02943143812709037,-0.029634300126103352,0.04013377926421424,-0.01954602774274894
20251226,20251229,000899.SZ,赣能股份,火力发电,67.92,0.8,0.21666666666666667,0.06614785992217896,10.35,10.37,10.3,10.12,A,1.52,-0.03375120540019283,-0.027184466019417597,-0.045323047251687454,-0.03883495145631066,-0.03857280617164882,-0.03203883495145632
20251226,20251229,600057.SH,厦门象屿,仓储物流,64.36,0.8058823529411765,0.43333333333333335,0.07336343115124158,8.84,8.86,8.86,8.5,B,1.06,-0.02483069977426622,-0.02483069977426622,-0.038374717832957095,-0.038374717832957095,-0.053047404063205295,-0.053047404063205295
20251226,20251229,601168.SH,西部矿业,铜,82.1,0.9294117647058824,0.05,0.07571896614488527,26.38,26.43,28.1,25.32,A,1.55,0.019674612183125273,-0.040925266903914626,0.04578130911842604,-0.016370106761565917,0.06205069996216417,-0.001067615658362997
20251226,20251229,601689.SH,拓普集团,汽车配件,72.36,0.8796380090497737,0.016666666666666666,0.0764483097208585,72.45,72.59,71.32,69.69,B,1.01,0.07287505166000807,0.09197980931015137,0.06323185011709609,0.08216489063376353,0.060889929742388826,0.07978126752664072
