watch_date,ts_code,name,signal_score,close,pivot,trigger_price,stop_loss,rs20_xsec_q,box_range_pct,industry
20251205,600060.SH,海信视像,72.35,25.89,26.5,26.55,25.74,0.8482,6.99,家用电器
20251205,600298.SH,安琪酵母,71.26,41.39,41.87,41.95,40.78,0.8582,7.88,食品
20251205,600887.SH,伊利股份,69.61,28.92,29.56,29.62,29.01,0.8305,2.8,乳制品
20251205,605507.SH,国邦医药,65.62,24.09,24.66,24.71,24.03,0.826,7.35,化学制药
20251205,601318.SH,中国平安,60.5,61.99,60.22,60.34,58.81,0.8174,3.34,保险
20251208,600298.SH,安琪酵母,70.94,41.11,41.87,41.95,40.8,0.801,6.91,食品
20251209,603730.SH,岱美股份,75.15,7.96,8.55,8.57,8.14,0.8786,7.41,汽车配件
20251210,603730.SH,岱美股份,73.27,7.87,8.55,8.57,8.16,0.8308,7.62,汽车配件
20251210,600776.SH,东方通信,68.04,13.84,14.05,14.08,13.57,0.8122,6.21,通信设备
20251212,600795.SH,国电电力,74.43,5.9,5.91,5.92,5.76,0.9053,6.95,火力发电
20251215,600795.SH,国电电力,77.88,5.88,5.92,5.93,5.78,0.9048,6.97,火力发电
20251215,603901.SH,永创智能,77.43,14.01,14.19,14.22,13.51,0.8731,6.64,专用机械
20251215,600298.SH,安琪酵母,62.13,41.22,41.87,41.95,40.89,0.8042,5.0,食品
20251216,600795.SH,国电电力,83.1,5.84,5.95,5.96,5.81,0.9166,4.97,火力发电
20251217,600795.SH,国电电力,84.82,5.93,5.95,5.96,5.82,0.9031,4.89,火力发电
20251217,603901.SH,永创智能,78.1,13.42,14.19,14.22,13.57,0.8909,6.11,专用机械
20251217,600066.SH,宇通客车,75.58,34.47,34.48,34.55,33.37,0.9117,7.17,汽车整车
20251217,603040.SH,新坐标,70.66,79.75,83.79,83.96,80.1,0.8791,7.55,汽车配件
20251217,601899.SH,紫金矿业,66.46,30.87,31.95,32.01,30.75,0.8469,7.22,铜
20251217,600993.SH,马应龙,65.65,29.31,29.44,29.5,28.79,0.8741,4.84,中成药
20251217,601156.SH,东航物流,63.85,17.58,17.26,17.29,16.86,0.8546,6.03,仓储物流
20251217,000157.SZ,中联重科,63.07,8.45,8.73,8.75,8.51,0.8428,6.51,工程机械
20251217,600298.SH,安琪酵母,63.06,41.68,41.86,41.94,40.76,0.8279,4.92,食品
20251217,605099.SH,共创草坪,62.42,37.53,38.11,38.19,36.41,0.8107,7.75,文教休闲
20251217,603313.SH,梦百合,60.94,9.58,9.64,9.66,9.33,0.8519,6.89,家居用品
20251218,600795.SH,国电电力,85.41,5.99,5.96,5.97,5.83,0.9104,5.01,火力发电
20251218,603901.SH,永创智能,81.76,13.57,14.19,14.22,13.61,0.9176,7.07,专用机械
