signal_date,ts_code,ret_t1,ret_t2,ret_t3
20250821,601606.SH,-0.00666666666666671,-0.013650793650793691,0.03888888888888897
20250822,603124.SH,0.15493929359823388,0.12099889624724058,0.08650662251655628
20250822,600737.SH,0.029088558500323103,0.07756948933419539,0.05946994182288301
20250825,601798.SH,-0.05302325581395351,-0.08465116279069773,-0.08093023255813947
20250825,603380.SH,0.009980039920159722,-0.03418163672654684,0.03368263473053901
20250826,603219.SH,0.09338521400778221,0.023346303501945442,-0.060311284046692504
20250826,601519.SH,-0.03764705882352948,-0.017058823529411682,-0.008235294117647118
20250827,600021.SH,0.07445255474452561,0.11751824817518264,0.22919708029197094
20250827,600510.SH,-0.03378378378378377,-0.020270270270270285,-0.02432432432432441
20250828,000799.SZ,0.042137404580152804,-0.11068702290076338,-0.13145038167938927
20250828,603657.SH,-0.07955307262569833,-0.11173184357541899,-0.13407821229050276
20250829,001212.SZ,-0.2586440677966101,-0.21898305084745762,-0.2284745762711864
20250829,600490.SH,0.04302925989672968,0.04991394148020656,0.018932874354561147
20250901,603757.SH,-0.07127638969591321,-0.0335076505907419,-0.0288591903931823
20250901,600284.SH,-0.061889250814332275,-0.05863192182410437,-0.05863192182410437
20250902,600113.SH,-0.0009988346928583303,-0.03878808057266514,0.0036623938738138406
20250902,603057.SH,-0.08955223880597019,-0.0687352710133543,-0.07737627651217605
20250903,603222.SH,0.010526315789473717,-0.07807017543859651,0.01403508771929829
20250903,600601.SH,0.006896551724137945,0.10804597701149432,0.06666666666666665
20250904,603773.SH,0.09690140845070405,0.09380281690140846,0.061690140845070296
20250904,600226.SH,-0.024793388429751984,-0.011019283746556474,-0.03581267217630846
20250905,601929.SH,0.19432314410480345,0.26637554585152823,0.2685589519650653
20250908,601579.SH,-0.07217741935483868,-0.06854838709677413,-0.049193548387096886
20250908,605188.SH,-0.014453961456102782,-0.03747323340471087,0.058886509635974305
20251203,603803.SH,-0.04056437389770717,-0.016754850088183337,0.013227513227513255
20251204,603216.SH,0.09427250088936323,0.07150480256136604,0.11348274635361078
20251205,603778.SH,0.058260175578611406,0.042298483639265916,0.03272146847565849
20251205,600734.SH,0.23388581952117882,0.1915285451197053,0.13812154696132595
20251208,603216.SH,0.016894087069525554,0.11728395061728403,0.07959714100064974
20251208,603778.SH,-0.003053435114503733,-0.012213740458015265,0.06030534351145045
20251209,000703.SZ,-0.013033175355450122,-0.01421800947867291,-0.03672985781990501
20251209,603163.SH,-0.03612669086110187,-0.011217419993401534,0.0875948531837678
20251210,000859.SZ,0.11657142857142855,0.14857142857142858,0.21714285714285708
20251210,603933.SH,-0.05555555555555558,-0.04809843400447422,-0.06524981357196125
20251211,600734.SH,-0.090032154340836,-0.059485530546623866,-0.15273311897106112
20251211,603327.SH,-0.04850746268656714,-0.11268656716417913,-0.18059701492537317
20251212,001309.SZ,-0.06376146788990833,-0.08486238532110091,-0.06247706422018351
20251212,001203.SZ,-0.07719928186714553,-0.0761220825852783,0.016157989228007263
20251215,000838.SZ,-0.01319261213720313,-0.1108179419525066,-0.16358839050131924
20251215,605168.SH,-0.02143906020557995,-0.043171806167400906,-0.03024963289280458
20251216,001267.SZ,-0.023348017621145245,-0.0524229074889867,-0.06123348017621144
20251216,001330.SZ,-0.09149722735674681,-0.0009242144177449285,-0.06931608133086875
20251217,000859.SZ,-0.03673469387755113,-0.08265306122448979,-0.020408163265306256
20251217,600973.SH,-0.010835913312693513,0.05263157894736836,0.03095975232198156
20251218,000969.SZ,0.04284976768198234,0.04284976768198234,0.034589571502323
20251219,601399.SH,0.0125899280575541,-0.05755395683453224,-0.06474820143884885
20251219,600105.SH,0.03557692307692295,0.02019230769230762,0.12211538461538463
20251222,603127.SH,0.023993144815767087,0.02427877749214513,0.06769494430162815
20251222,001296.SZ,-0.03824561403508775,-0.027719298245614032,0.004210526315789442
20251223,600151.SH,-0.12154696132596687,-0.0911602209944753,-0.08121546961325976
20251223,001208.SZ,-0.012200844673861955,0.08681370248709541,0.11966213045518548
20251224,000797.SZ,0.014634146341463428,-0.0024390243902439046,-0.01707317073170722
20251224,603626.SH,0.05608108108108101,0.16148648648648645,0.19932432432432434
20251225,000417.SZ,-0.024038461538461675,-0.060096153846153855,-0.05769230769230771
20251225,605318.SH,0.015393637296584162,0.022137516493182963,-0.01920539510335706
20251226,000981.SZ,0.03682719546742219,0.14164305949008504,0.17847025495750724
20251226,601869.SH,-0.02620967741935487,-0.03790322580645167,-0.06161290322580648
20251229,605318.SH,-0.030434782608695587,-0.05550724637681159,-0.0808695652173913
20251229,000797.SZ,-0.02863961813842486,-0.06205250596658718,-0.0835322195704058
20251230,001208.SZ,0.08926144086995924,0.06252831898504763,0.0969642048028998
20251230,601208.SH,-0.02518891687657432,-0.007556675062972307,-0.035984166966534725
20251231,603311.SH,-0.03587443946188329,-0.04099935938500954,-0.05573350416399736
20251231,603680.SH,-0.041009463722397554,0.006940063091482651,0.0586750788643533
20260105,002865.SZ,0.0613328451116808,0.14060783595752468,0.25466861955327724
20260105,603601.SH,0.10448979591836727,0.07020408163265301,0.12571428571428567
20260106,001208.SZ,0.13438735177865602,0.24769433465085644,0.2736056214317084
20260106,000048.SZ,-0.07571168988491839,-0.07026044821320421,-0.04118715929739558
20260107,603626.SH,0.022564102564102573,0.05641025641025643,0.05076923076923068
20260107,605069.SH,0.059025394646534,0.04873026767330124,0.021962937542896466
20260108,000703.SZ,-0.015023474178403773,-0.03568075117370895,-0.032863849765258135
20260108,603216.SH,-0.036969420356001814,0.022364217252396124,0.022364217252396124
20260109,002083.SZ,0.009826152683295453,-0.03703703703703709,-0.04308390022675734
20260109,603667.SH,0.043941757670306725,0.07449297971918889,-0.0049401976079042065
20260112,002471.SZ,-0.0012150668286755595,-0.00486026731470246,-0.10449574726609967
20260112,002571.SZ,-0.04496951219512191,-0.05335365853658536,-0.060975609756097504
20260113,002766.SZ,0.013024602026049159,0.0723589001447178,-0.03473227206946461
20260113,000792.SZ,0.025308641975308577,0.03765432098765431,0.020987654320987703
