watch_date,entry_date,ts_code,name,industry,signal_score,pivot,trigger_price,stop_loss,confirm_time,entry_price,entry_bar_close,volume_ratio,vol_ma20_prev,signal_grade,position_ratio,ret_close0,ret_t1,ret_t2,ret_t3
20251110,20251111,601226.SH,华电科工,建筑工程,72.96,7.97,7.99,7.66,09:35:00,7.99,8.33,1.1011516203721836,232989.713,B,0.5,0.042553191489361764,0.0,0.027534418022528317,0.003754693366708306
20251111,20251112,601288.SH,农业银行,银行,80.96,8.34,8.36,8.09,14:40:00,8.36,8.43678792,1.0225783954605125,4332333.853,B,0.5,0.027511961722488154,0.02392344497607679,0.01674641148325362,-0.004784688995215225
20251111,20251112,603660.SH,苏州科达,IT设备,68.77,9.1,9.12,8.71,10:10:00,9.12,9.39,1.0385808753524388,197636.029,B,0.5,0.023026315789473673,0.0274122807017545,0.04276315789473695,0.11513157894736858
20251112,20251113,603660.SH,苏州科达,IT设备,71.65,9.18,9.2,8.79,13:45:00,9.2,9.27,1.0559530212750305,208145.62350000002,B,0.5,0.018478260869565277,0.033695652173913127,0.10543478260869565,0.12717391304347836
20251114,20251117,600679.SH,上海凤凰,文教休闲,72.7,13.72,13.75,13.36,11:30:00,13.75,14.27,1.0043749190703888,93484.01499999998,B,0.5,0.034909090909091,0.012363636363636354,-0.0036363636363636598,-0.0036363636363636598
20251114,20251117,600776.SH,东方通信,通信设备,67.11,13.42,13.45,12.9,14:00:00,13.45,13.49,1.0080470613455168,252611.222,B,0.5,0.004460966542751077,-0.015613382899628214,-0.0342007434944237,-0.04163568773234194
20251114,20251117,603456.SH,九洲药业,医疗保健,64.73,20.5,20.54,19.65,10:35:00,20.54,21.93,1.017421519048071,293510.5995,B,0.5,0.06475170399221031,0.044790652385589214,-0.020447906523855752,-0.04089581304771173
20251118,20251119,601058.SH,赛轮轮胎,汽车配件,71.31,16.45,16.48,15.98,10:50:00,16.48,16.29,1.0160393523463975,244388.17200000002,B,0.5,-0.01759708737864074,-0.022451456310679685,-0.03276699029126218,-0.04429611650485443
20251120,20251121,600331.SH,宏达股份,农药化肥,74.26,11.25,11.27,10.73,10:20:00,11.27,11.25,1.0002041278268636,458967.31200000003,B,0.5,-0.019520851818988327,-0.06211180124223592,-0.04081632653061218,-0.03815439219165928
20251125,20251126,603338.SH,浙江鼎力,工程机械,72.12,55.22,55.33,53.56,13:50:00,55.33,55.63,1.0074483537977117,63734.284499999994,B,0.5,0.0036146755828665444,-0.00777155250316286,0.017531176576902174,0.006506416049159469
20251125,20251126,603638.SH,艾迪精密,专用机械,69.14,19.88,19.92,19.31,10:40:00,19.92,20.17136618,1.014899076001033,63428.96699999999,B,0.5,0.0025100401606423794,-0.0010040160642571516,0.011044176706827225,0.005020080321284981
20251126,20251127,600690.SH,海尔智家,家用电器,71.0,27.54,27.6,26.9,13:45:00,27.6,27.58,1.0050561377544178,388825.047,B,0.5,-0.00036231884057980057,-0.0007246376811594901,-0.004710144927536297,0.005797101449275477
20251127,20251128,605507.SH,国邦医药,化学制药,62.01,24.11,24.16,23.48,14:15:00,24.16,24.0,1.0032900571115966,37860.437,B,0.5,-0.007864238410596025,0.009519867549668826,0.005794701986755024,0.013658940397350827
20251128,20251201,603338.SH,浙江鼎力,工程机械,71.38,55.98,56.09,54.35,14:50:00,56.09,55.67,1.0071903796702262,57834.1505,B,0.5,-0.0071313959707614005,-0.014441076840791656,0.05794259226243548,0.06650026742734894
